View Code, View Title, View Name, Icon, Route, View Type, Parent View, Dsiplay Order
ADMIN_DASHBOARD,Dashboard,Dashboard,,home/admin/dashboard,view,,1
TRACKER_DASHBOARD,Dashboard,Dashboard,dashboard,home/dashboard,view,,1
PASSWORD_TRACKER,Password Tracker,Password Tracker,lock,home/dashboard,view,,1
PASSWORD_LIST,Passwords,Passwords,list,home/passwords,view,PASSWORD_TRACKER,1
MONEY_TRACKER,Money Tracker,Money Tracker,monetization_on,home/dashboard,view,,1
BANK_ACCOUNTS,Accounts,Accounts,account_balance,home/accounts,view,MONEY_TRACKER,1
TRANSACTIONS,Transactions,Transactions,view_list,home/transactions,view,MONEY_TRACKER,2
