Branch Code, Branch Name, IFSC, MICR, Address, City, State, Country, Bank Code
SBI0001,SBI - Amravati Camp,SBIN0003866,444002976,OLD BIYANI COLLEGE ROAD TAPOWAN ROAD,AMRAVATI,MAHARASHTRA,India,SBI
SBI0002,SBI - Katraj,SBIN0008752,411002018,PUNE SATARA RD. NR. BHARATI VIDYAPITH,PUNE,MAHARASHTRA,India,SBI
SBI0003,SBI - Amravati Main Branch,SBIN0000311,444002971,NR. SHYAM TALKIES,AMRAVATI,MAHARASHTRA,India,SBI
ICICI0001,ICICI - PUNE - MAGARPATTA CITY,ICIC0000581,411229022,DESTINATION CENTRE HADAPSAR,PUNE,MAHARASHTRA,India,ICICI
ICICI0002,ICICI - Bavdhan,ICIC0001876,411229044,NAVKAR AVENUE SURVEY NO.5 NDA ROAD BAVDHAN,PUNE,MAHARASHTRA,India,ICICI
HDFC0001,HDFC - BHANDARKAR ROAD,HDFC0001578,411240028,759/34 BHANDARKAR ROAD,PUNE,MAHARASHTRA,India,HDFC
UBI0001,UBI - PAUD MULSHI,UBIN0532215,412026026,AT & POST PAUD TALUKA MULSHI,PUNE,MAHARASHTRA,India,UBI
UBI0002,UBI - AUNDH,UBIN0554138,411026027,SHOWROOM NO. 3 & 4 BUILDING A-1 KALPATARUENCLAVE D.P. ROAD AUNDH,PUNE,MAHARASHTRA,India,UBI
